Altium Designer Pick and Place Locations
C:\GIT\UltraZohm\pcb_design\uz_per_sic_inverter_828xcc\Project Outputs for UZ_PER_SiC_inverter_828xcc\Rev01\Pick Place\Pick Place for UZ_PER_SiC_inverter_828xcc.csv

========================================================================================================================
File Design Information:

Date:       19.02.23
Time:       19:24
Revision:   eabe80195efbe4ac11393c8069fdf8f8b64d3ec2
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C33","B32778Z","183.6000","173.4500","5.4000","31.6500","183.6000","5.4000","90","40 µF","TopLayer"
"C32","B32778Z","183.8000","193.9500","116.0000","89.7500","183.8000","116.0000","270","40 µF","TopLayer"
"C31","B32778Z","40.8000","30.6500","5.4000","31.6500","40.8000","5.4000","90","40 µF","TopLayer"
"C30","B32778Z","112.3000","102.1500","5.4000","31.6500","112.3000","5.4000","90","40 µF","TopLayer"
"C29","B32778Z","76.6000","66.4500","5.4000","31.6500","76.6000","5.4000","90","40 µF","TopLayer"
"C28","B32778Z","112.3000","122.4500","116.0000","89.7500","112.3000","116.0000","270","40 µF","TopLayer"
"C27","B32778Z","40.8000","50.9500","116.0000","89.7500","40.8000","116.0000","270","40 µF","TopLayer"
"C26","B32778Z","147.9000","137.7500","5.4000","31.6500","147.9000","5.4000","90","40 µF","TopLayer"
"C25","B32778Z","148.1000","158.2500","116.0000","89.7500","148.1000","116.0000","270","40 µF","TopLayer"
"C24","B32778Z","76.5000","86.6500","116.0000","89.7500","76.5000","116.0000","270","40 µF","TopLayer"
"C73","C_0603","57.7000","57.7000","155.2000","155.2000","57.7000","155.9000","270","0.1 µF","TopLayer"
"C72D","C_0603","182.2715","182.2715","212.2530","212.2530","182.9715","212.2530","180","0.1 µF","TopLayer"
"C72C","C_0603","167.8000","167.8000","203.5000","203.5000","167.8000","202.8000","90","0.1 µF","TopLayer"
"C72B","C_0603","157.4999","157.4999","203.6000","203.6000","157.4999","202.9000","90","0.1 µF","TopLayer"
"C72A","C_0603","134.9750","134.9750","208.9750","208.9750","134.9750","208.2750","90","0.1 µF","TopLayer"
"C71D","C_0603","184.7551","184.7551","217.3132","217.3132","184.7551","218.0132","270","0.1 µF","TopLayer"
"C71C","C_0603","172.8446","172.8446","201.0163","201.0163","173.5446","201.0163","180","0.1 µF","TopLayer"
"C71B","C_0603","162.2999","162.2999","201.0000","201.0000","162.9999","201.0000","180","0.1 µF","TopLayer"
"C71A","C_0603","139.9750","139.9750","206.1750","206.1750","140.6750","206.1750","180","0.1 µF","TopLayer"
"C55D","C_0603","65.0000","65.0000","218.4000","218.4000","65.7000","218.4000","180","330 pF","TopLayer"
"C55C","C_0603","77.3000","77.3000","219.5152","219.5152","78.0000","219.5152","180","330 pF","BottomLayer"
